class_label,support,matched,missed,recall
correct,14,6,8,0.42857142857142855
insufficient_depth,9,2,7,0.2222222222222222
incomplete_extension,10,10,0,1.0
alignment_deviation,10,3,7,0.3
unscorable,0,0,0,
